index,가게명,음식종류,음식이 맛있어요,가성비가 좋아요,혼밥하기 좋아요,친절해요,양이 많아요,재료가 신선해요,특별한 메뉴가 있어요,매장이 넓어요,매장이 청결해요,인테리어가 멋져요,특별한 날 가기 좋아요,단체모임 하기 좋아요,메뉴 구성이 알차요,아늑해요,음식이 빨리 나와요,주차하기 편해요,화장실이 깨끗해요,뷰가 좋아요,음료가 맛있어요,아이와 가기 좋아요,잡내가 적어요,반려동물과 가기 좋아요,룸이 잘 되어있어요,오래 머무르기 좋아요,환기가 잘 돼요,차분한 분위기에요,코스요리가 알차요,비싼 만큼 가치있어요,반찬이 잘 나와요,대화하기 좋아요,건강한 맛이에요,음악이 좋아요,좌석이 편해요,사진이 잘 나와요,현지 맛에 가까워요,고기 질이 좋아요,샐러드바가 잘 되어있어요,혼술하기 좋아요,향신료가 강하지 않아요,야외공간이 멋져요,컨셉이 독특해요,포장이 깔끔해요,술이 다양해요,직접 잘 구워줘요,커피가 맛있어요,디저트가 맛있어요,기본 안주가 좋아요,집중하기 좋아요,빵이 맛있어요,태그 총합
45,베나레스 숙대점,인도음식,1188.0,508.0,161.0,294.0,477.0,291.0,86.0,476.0,145.0,129.0,21.0,80.0,108.0,34.0,21.0,5.0,15.0,15.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,26.0,3.0,1.0,0.0,0.0,33.0,0.0,4.0,0.0,243.0,0.0,0.0,0.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8962.0
46,샤브로21 숙명여대,샤브샤브,688.0,288.0,447.0,283.0,70.0,522.0,38.0,50.0,168.0,299.0,1.0,3.0,59.0,68.0,8.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,1.0,8.0,4.0,107.0,0.0,1.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6450.0
47,나폴리키친,피자,333.0,152.0,16.0,143.0,85.0,103.0,64.0,17.0,27.0,37.0,25.0,44.0,7.0,12.0,3.0,0.0,2.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,8.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2342.0
48,어바웃샤브 숙명여대점,샤브샤브,232.0,89.0,17.0,61.0,69.0,97.0,16.0,31.0,19.0,2.0,8.0,27.0,1.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.0
49,백채김치찌개 숙대입구점,"찌개,전골",257.0,104.0,0.0,76.0,137.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362.0
50,본죽&비빔밥cafe 숙대입구역점,죽,246.0,0.0,109.0,105.0,81.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332.0
51,만나칼국수,"칼국수,만두",428.0,129.0,137.0,0.0,191.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2212.0
52,교촌치킨 숙대점,"치킨,닭강정",372.0,0.0,0.0,96.0,0.0,56.0,0.0,120.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1530.0
54,까치네분식,종합분식,692.0,305.0,218.0,208.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350.0
55,메이드바이그레이스,샌드위치,0.0,0.0,0.0,72.0,0.0,0.0,60.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,81.0,668.0
